regime,split_id,model,r2,rmse,mae,n_train,n_test
leave_one_study_out,leave_one_study_out_05,lightgbm,-2.3609655805811083,4.357536880828371,3.7966072479442223,989,20
leave_one_study_out,leave_one_study_out_05,mlp_regressor,-4.2718205728338825,5.457444770812474,4.912691915149605,989,20
leave_one_study_out,leave_one_study_out_06,elastic_net,-0.3233834740711061,0.23891664447306205,0.21027963408088066,985,24
leave_one_study_out,leave_one_study_out_06,lightgbm,-1.4208292608996098,0.32313621458773806,0.25349607710511907,985,24
leave_one_study_out,leave_one_study_out_06,mlp_regressor,-0.6393664326919315,0.2659142261014629,0.20078089272499047,985,24
leave_one_study_out,leave_one_study_out_07,elastic_net,0.04121365642976382,0.2686594807977458,0.23294970247326885,940,69
leave_one_study_out,leave_one_study_out_07,lightgbm,-1.4937927133994862,0.4332827779918292,0.33811544396083903,940,69
leave_one_study_out,leave_one_study_out_07,mlp_regressor,-766.5059917933592,7.6011996319093935,3.2747317448837743,940,69
leave_one_study_out,leave_one_study_out_08,elastic_net,-0.7966070646536219,0.2725592203096624,0.2504881096737994,991,18
leave_one_study_out,leave_one_study_out_08,lightgbm,-6.100299813125965,0.5418420058850925,0.5147343692256698,991,18
leave_one_study_out,leave_one_study_out_08,mlp_regressor,-53.87981117784612,1.5064011234039587,1.0189237793684103,991,18
leave_one_study_out,leave_one_study_out_09,elastic_net,-0.9379125774932033,1.3218227341300939,0.9461192669639015,967,42
leave_one_study_out,leave_one_study_out_09,lightgbm,-1.0203473492890418,1.34964374865659,0.9683084535661044,967,42
leave_one_study_out,leave_one_study_out_09,mlp_regressor,-1.1089685463593328,1.3789266898370092,1.0548006016336884,967,42
leave_one_study_out,leave_one_study_out_10,elastic_net,-6.703270540145262,0.22882173255392432,0.2205312114313377,991,18
leave_one_study_out,leave_one_study_out_10,lightgbm,-3.2607326239045493,0.17017738076334296,0.15260615512660813,991,18
leave_one_study_out,leave_one_study_out_10,mlp_regressor,-2.6566062895328852,0.15765174974266932,0.126363449339305,991,18
leave_one_study_out,leave_one_study_out_11,elastic_net,-1.2640223750509718,0.31887215381198186,0.2946138202960958,829,180
leave_one_study_out,leave_one_study_out_11,lightgbm,-19.670912658378302,0.9635096393468058,0.7248199709516491,829,180
leave_one_study_out,leave_one_study_out_11,mlp_regressor,-85.51730572401394,1.971186567862705,1.492859882924896,829,180
leave_one_study_out,leave_one_study_out_12,elastic_net,-2481.2455575783683,0.4587635905408334,0.45867116068787167,939,70
leave_one_study_out,leave_one_study_out_12,lightgbm,-62.704353003954935,0.07349387166949718,0.03899246823067462,939,70
leave_one_study_out,leave_one_study_out_12,mlp_regressor,-0.8395878535737646,0.012488976221487319,0.008437225285714287,939,70
leave_one_study_out,leave_one_study_out_13,elastic_net,-2.1976009081308745,0.3050902039275484,0.2823069562005292,1002,7
leave_one_study_out,leave_one_study_out_13,lightgbm,-2.6235421161514774,0.3247751489586329,0.2911025771167228,1002,7
leave_one_study_out,leave_one_study_out_13,mlp_regressor,-2.7891048065520923,0.3321119043610616,0.2528446697648618,1002,7
leave_one_study_out,leave_one_study_out_14,elastic_net,-17.07433832614832,0.34496303403590095,0.3414822191421019,904,105
leave_one_study_out,leave_one_study_out_14,lightgbm,-30.07949230342669,0.4523538730734934,0.3419446616962128,904,105
leave_one_study_out,leave_one_study_out_14,mlp_regressor,-238.02508669791516,1.2544781386239654,0.9554206341147278,904,105
leave_one_study_out,leave_one_study_out_15,elastic_net,-1.0770269000879948,3.8240856018111398,2.783394269548231,971,38
leave_one_study_out,leave_one_study_out_15,lightgbm,-0.905735636768997,3.6630080438693113,2.5668715484375046,971,38
leave_one_study_out,leave_one_study_out_15,mlp_regressor,-0.7231643809977266,3.483131727194608,2.317949750377797,971,38
leave_one_study_out,leave_one_study_out_16,elastic_net,-3.6655910602959496,0.255796646154989,0.23619903574080453,991,18
leave_one_study_out,leave_one_study_out_16,lightgbm,-410.62512441408415,2.402660720221902,1.9508968533121,991,18
leave_one_study_out,leave_one_study_out_16,mlp_regressor,-436.2594449445459,2.4763447763744044,2.2707194633438643,991,18
leave_one_study_out,leave_one_study_out_17,elastic_net,-35799.30542446833,0.39929983422739185,0.39929427870955897,979,30
leave_one_study_out,leave_one_study_out_17,lightgbm,-2298.3659993424644,0.10119517752057058,0.07340272939214491,979,30
leave_one_study_out,leave_one_study_out_17,mlp_regressor,-224626.47645258487,1.0002008126358681,0.9239747813694861,979,30
